Date,Pharmacy,Location,Drug,Brand,Price,Quantity,Supplier_Name,Batch_Number,Expiry_Date,Sales_Channel,Drug_Form,pharmacy_total_sales,pharmacy_avg_price,brand_avg_price,unusual_discount,rare_brand_flag,supplier_rare_ratio,suspicious_channel,sales_spike_flag,days_to_expiry,near_expiry,risk_score,iso_score,iso_flag,lof_flag,lof_score,svm_score,svm_flag,ensemble_flag
2024-12-02,Ryan PLC,Urban,Amoxicillin,HealthFirst,1271.41,95.0,"Robinson, Jones and Welch",fA-39909-QL,2026-07-09,Market Stall,Tablet,9077.0,2528.3964444444446,2693.3655578512394,1,0,0.0,1,0,303,0,2,0.024155760150103678,0,0,1.0182070992563956,1.6915217332479795,0,0
2024-11-14,"Baker, Mason and White",Rural,Amoxicillin,HealthFirst,1316.77,78.0,"Brooks, Lam and Hayes",qz-54353-iQ,2026-09-09,Market Stall,Syrup,8870.0,2566.5758,2693.3655578512394,1,0,0.0,1,0,365,0,2,0.017520226949982787,0,0,1.0104414827241919,2.370348896460163,0,0
2024-07-16,"Watts, Robinson and Nguyen",Rural,Paracetamol,BioCare,690.61,49.0,"Robinson, Jones and Welch",px-84251-sk,2026-04-01,Mobile Van,Injection,10233.0,2613.1523316062176,2660.409393382353,1,0,0.0,1,0,204,0,2,0.02872181873583113,0,0,0.988508360112581,5.16137695242395,0,0
2025-03-14,Harrell LLC,Rural,Amoxicillin,MediPlus,4870.96,49.0,Chapman and Sons,QJ-84980-tQ,2025-07-15,Market Stall,Injection,10645.0,2453.6826699029125,2638.3437763713077,0,0,0.0,1,0,-56,1,2,0.005294054160831507,0,0,1.0003399732456644,1.838758950390588,0,0
2025-04-24,Ryan PLC,Rural,Chloroquine,MediPlus,419.96,30.0,Novak PLC,jr-24118-sM,2025-10-06,Mobile Van,Tablet,9077.0,2528.3964444444446,2684.3569201520913,1,0,0.010169491525423728,1,0,27,1,3,0.0022706103537413758,0,0,1.0259192805380082,0.00018441662284907068,0,0
2025-01-28,Williams and Sons,Urban,Ciprofloxacin,BioCare,980.74,46.0,"Washington, Ryan and Cummings",qd-53487-fO,2026-03-21,Market Stall,Injection,10187.0,2580.29931372549,2743.3452906976745,1,0,0.0,1,0,193,0,2,0.019574148892795906,0,0,0.9933932582138847,4.4541205855442705,0,0
2025-03-13,"Arroyo, Miller and Tucker",Urban,Chloroquine,HealthFirst,984.33,49.0,Lee-Davis,Oq-40052-kV,2026-04-04,Market Stall,Syrup,10700.0,2701.7831074766355,2634.855888429752,1,0,0.0,1,0,207,0,2,0.021230535740029977,0,0,0.9966890514809649,4.9791170380639045,0,0
2024-11-25,Allen-Allen,Rural,Amoxicillin,MediPlus,4064.22,52.0,Unknown,Sj-68011-Ic,2027-02-03,In-Store,Syrup,9906.0,2475.600879396985,2638.3437763713077,0,0,0.0,0,0,512,0,0,0.02472648156106988,0,0,1.000748833787624,1.7090057981273716,0,0
2024-09-15,Smith-Bowen,Rural,Ibuprofen,PharmaTrust,4446.48,83.0,Baxter Inc,ct-98262-xY,2027-02-23,In-Store,Injection,10299.0,2636.747797029703,2529.742651821862,0,0,0.0,0,0,532,0,0,0.017008148521837907,0,0,1.0009132960598375,2.150847328410263,0,0
2024-05-10,Garcia-James,Urban,Coartem,PharmaTrust,4509.55,52.0,Powell LLC,XJ-53315-AN,2026-11-29,In-Store,Syrup,12036.0,2445.7318502202643,2500.6434980988593,0,0,0.0,0,0,446,0,0,0.004991577697614102,0,0,1.024102332375173,0.4873006131248552,0,0
