Date,Pharmacy,Location,Drug,Brand,Price,Quantity,Supplier_Name,Batch_Number,Expiry_Date,Sales_Channel,Drug_Form,pharmacy_total_sales,pharmacy_avg_price,brand_avg_price,unusual_discount,rare_brand_flag,supplier_rare_ratio,suspicious_channel,sales_spike_flag,days_to_expiry,near_expiry,risk_score,iso_score,iso_flag,lof_flag,lof_score,svm_score,svm_flag,ensemble_flag
12/2/2024,Ryan PLC,Urban,Amoxicillin,HealthFirst,1271.41,95,"Robinson, Jones and Welch",fA-39909-QL,7/9/2026,Market Stall,Tablet,9077,2528.396444,2693.365558,1,0,0,1,0,300,0,2,0.024371591,0,0,1.018407925,1.691745329,0,0
11/14/2024,"Baker, Mason and White",Rural,Amoxicillin,HealthFirst,1316.77,78,"Brooks, Lam and Hayes",qz-54353-iQ,9/9/2026,Market Stall,Syrup,8870,2566.5758,2693.365558,1,0,0,1,0,362,0,2,0.017431905,0,0,1.010537195,2.374106803,0,0
7/16/2024,"Watts, Robinson and Nguyen",Rural,Paracetamol,BioCare,690.61,49,"Robinson, Jones and Welch",px-84251-sk,4/1/2026,Mobile Van,Injection,10233,2613.152332,2660.409393,1,0,0,1,0,201,0,2,0.02887977,0,0,0.988755735,5.16162933,0,0
3/14/2025,Harrell LLC,Rural,Amoxicillin,MediPlus,4870.96,49,Chapman and Sons,QJ-84980-tQ,7/15/2025,Market Stall,Injection,10645,2453.68267,2638.343776,0,0,0,1,0,-59,1,2,0.00553422,0,0,1.000444638,1.837069453,0,0
4/24/2025,Ryan PLC,Rural,Chloroquine,MediPlus,419.96,30,Novak PLC,jr-24118-sM,10/6/2025,Mobile Van,Tablet,9077,2528.396444,2684.35692,1,0,0.010169492,1,0,24,1,3,0.00139086,0,0,1.02589747,-0.000255006,1,0
1/28/2025,Williams and Sons,Urban,Ciprofloxacin,BioCare,980.74,46,"Washington, Ryan and Cummings",qd-53487-fO,3/21/2026,Market Stall,Injection,10187,2580.299314,2743.345291,1,0,0,1,0,190,0,2,0.01871891,0,0,0.993353938,4.456701781,0,0
3/13/2025,"Arroyo, Miller and Tucker",Urban,Chloroquine,HealthFirst,984.33,49,Lee-Davis,Oq-40052-kV,4/4/2026,Market Stall,Syrup,10700,2701.783107,2634.855888,1,0,0,1,0,204,0,2,0.020862715,0,0,0.996580182,4.981094943,0,0
11/25/2024,Allen-Allen,Rural,Amoxicillin,MediPlus,4064.22,52,Unknown,Sj-68011-Ic,2/3/2027,In-Store,Syrup,9906,2475.600879,2638.343776,0,0,0,0,0,509,0,0,0.024817786,0,0,1.000737282,1.708667227,0,0
9/15/2024,Smith-Bowen,Rural,Ibuprofen,PharmaTrust,4446.48,83,Baxter Inc,ct-98262-xY,2/23/2027,In-Store,Injection,10299,2636.747797,2529.742652,0,0,0,0,0,529,0,0,0.01713727,0,0,1.000883891,2.156445938,0,0
5/10/2024,Garcia-James,Urban,Coartem,PharmaTrust,4509.55,52,Powell LLC,XJ-53315-AN,11/29/2026,In-Store,Syrup,12036,2445.73185,2500.643498,0,0,0,0,0,443,0,0,0.005205737,0,0,1.024087462,0.495256576,0,0
6/24/2024,"Ferrell, Rice and Maddox",Rural,Artemisinin,MediPlus,933.64,21,"Daniels, Adkins and Brown",lV-32260-vY,4/18/2027,Market Stall,Capsule,11236,2510.879194,2546.82506,1,0,0,1,0,583,0,2,0.017012302,0,0,1.006237225,1.36473362,0,0
10/1/2024,Harrell LLC,Urban,Ciprofloxacin,PharmaTrust,2739.75,71,Yu Inc,cE-34216-om,1/20/2027,In-Store,Tablet,10645,2453.68267,2585.349387,0,0,0,0,0,495,0,0,0.023906346,0,0,1.003677433,2.195721996,0,0
4/16/2025,Allen-Allen,Rural,Amlodipine,PharmaTrust,959.16,1,"Stanley, Tucker and Lee",bQ-75433-mz,1/5/2026,Market Stall,Injection,9906,2475.600879,2693.854767,1,0,0,1,0,115,0,2,0.013754086,0,0,1.024964962,1.748557764,0,0
8/11/2024,"Ferrell, Rice and Maddox",Urban,Coartem,BioCare,4240.01,65,Hancock Inc,RI-14586-vb,7/24/2025,In-Store,Syrup,11236,2510.879194,2554.920325,0,0,0.003154574,0,0,-50,1,1,0.010708076,0,0,1.025353868,3.891265368,0,0
3/31/2025,Morales-Jones,Urban,Coartem,MediPlus,3074.93,63,"Brooks, Lam and Hayes",gM-42940-Bw,11/12/2026,In-Store,Injection,9250,2586.542787,2511.35,0,0,0,0,0,426,0,0,0.02347162,0,0,0.992704442,2.6539433,0,0
2/24/2025,"Reid, Ferguson and Sanchez",Urban,Amoxicillin,MediPlus,611.14,63,"Woods, Calhoun and Schmidt",yK-56981-mq,5/30/2025,In-Store,Syrup,9712,2619.77625,2638.343776,1,0,0,0,0,-105,1,2,0.020672104,0,0,0.990171927,2.792664582,0,0
1/25/2025,Garcia-James,Rural,Coartem,PharmaTrust,4828.94,70,Novak PLC,xB-60883-eQ,4/11/2027,Market Stall,Syrup,12036,2445.73185,2500.643498,0,0,0.010169492,1,0,576,0,1,-0.001361563,1,1,1.112235697,-1.683390673,1,1
8/31/2024,Spence PLC,Rural,Ciprofloxacin,BioCare,2302.88,67,Unknown,tQ-95148-Au,3/4/2026,In-Store,Syrup,9278,2753.714545,2743.345291,0,0,0,0,0,173,0,0,0.024052384,0,0,1.009233342,1.684643448,0,0
1/20/2025,Williams and Sons,Urban,Amlodipine,HealthFirst,3024.51,1,Chapman and Sons,Qy-48236-RV,3/28/2027,Market Stall,Tablet,10187,2580.299314,2647.837576,0,0,0,1,0,562,0,1,0.018028064,0,0,1.0075057,2.800799668,0,0
7/1/2024,Williams and Sons,Urban,Amoxicillin,MediPlus,2667.95,36,House-Glover,at-99468-sn,3/25/2026,Mobile Van,Syrup,10187,2580.299314,2638.343776,0,0,0,1,0,194,0,1,0.02948618,0,0,0.990199849,5.538826811,0,0
2/27/2025,Rodriguez LLC,Rural,Amlodipine,PharmaTrust,4346.42,7,House-Glover,vf-21489-Wp,9/30/2026,Market Stall,Tablet,11001,2465.058302,2693.854767,0,0,0,1,0,383,0,1,0.016955912,0,0,1.015968857,1.960169832,0,0
8/23/2024,Davis and Sons,Rural,Amlodipine,MediPlus,1393.55,25,Novak and Sons,pE-33200-NX,6/21/2025,Mobile Van,Syrup,9195,2652.435304,2644.002179,1,0,0,1,0,-83,1,3,0.002923712,0,0,1.000219648,2.375691252,0,0
10/18/2024,"Hoffman, Baker and Richards",Urban,Metformin,MediPlus,2327.03,71,"Robinson, Jones and Welch",zp-69367-jP,10/12/2026,In-Store,Tablet,10962,2627.231295,2606.741863,0,0,0,0,0,395,0,0,0.028826986,0,0,0.991396662,3.998701285,0,0
