,transaction_id,user_id,transaction_type,amount,location,device_type,network_provider,user_type,"time_of_day(morning, afternoon, evening, night)",is_foreign_number,is_sim_recently_swapped,has_multiple_accounts,datetime
0,TX100000,user_8270,Withdraw Cash,2646.35,Nakuru,Feature Phone,Telkom Kenya,individual,,0,0,0,6/16/2024 21:45
1,TX100001,user_1860,Send Money,2844.69,Garissa,iOS,Safaricom,agent,,0,0,0,6/5/2024 0:49
2,TX100002,user_6390,Deposit Cash,2384.46,Nyeri,Feature Phone,Telkom Kenya,agent,,0,0,1,6/13/2024 15:54
3,TX100003,user_6191,Withdraw Cash,1846.01,Nairobi,iOS,Safaricom,individual,,0,0,1,6/10/2024 1:05
4,TX100004,user_6734,  Send   Money,1017.6,Machakos,Feature Phone,Telkom Kenya,individual,,0,0,0,6/27/2024 2:28
5,TX100005,user_7265,Withdraw Cash,1791.94,Meru,Feature Phone,Telkom Kenya,individual,,0,0,1,6/24/2024 10:34
6,TX100006,user_1466,Lipa na    M-Pesa,522.84,Meru,Feature Phone,Telkom Kenya,individual,,0,0,1,6/4/2024 12:33
7,TX100007,user_5426,Buy Airtime,428.61,Nyeri,iOS,Safaricom,individual,,0,0,0,6/7/2024 0:58
8,TX100008,user_6578,Withdraw Cash,1248.08,Nyeri,iOS,Safaricom,individual,,0,0,0,6/7/2024 11:06
9,TX100009,user_9322,Lipa na M-Pesa,18797.2,Meru,Feature Phone,Telkom Kenya,individual,,0,0,0,6/24/2024 11:53
10,TX100010,user_2685,Pay Bill,1383.42,Garissa,iOS,Safaricom,individual,,0,0,0,6/10/2024 21:31
11,TX100011,user_1769,Send Money,9646.1,Meru,Feature Phone,Telkom Kenya,individual,,0,0,0,6/27/2024 23:33
12,TX100012,user_7949,Pay    Bill,1743.04,Kisumu,iOS,Airtel,individual,,0,0,0,6/24/2024 19:49
13,TX100013,user_3433,Deposit Cash,2023.18,Nakuru,Feature Phone,Airtel,individual,,0,0,0,6/13/2024 11:43
14,TX100014,user_6311,Lipa na M-Pesa,5582.01,Mombasa,Android,Airtel,individual,,0,0,0,6/23/2024 6:58
15,TX100015,user_6051,Pay Bill,344.11,Meru,Android,Safaricom,individual,,0,1,0,6/14/2024 11:54
16,TX100016,user_7420,Pay Bill,704.47,Kisumu,Feature Phone,Airtel,individual,,0,0,0,6/16/2024 22:30
17,TX100017,user_2184,Lipa na M-Pesa,12752.37,Meru,iOS,Telkom Kenya,individual,,0,0,0,6/27/2024 23:27
18,TX100018,user_5555,  Buy    Airtime,2467.68,Garissa,Feature Phone,Telkom Kenya,individual,,0,0,0,6/28/2024 16:02
19,TX100019,user_4385,Withdraw Cash,158.62,Nairobi,Android,Safaricom,individual,,0,1,0,6/16/2024 6:53
20,TX100020,user_7396,Deposit Cash,169.89,Kisumu,Android,Telkom Kenya,agent,,0,0,1,6/11/2024 17:11
21,TX100021,user_9666,Deposit Cash,8322.11,Nakuru,Feature Phone,Airtel,individual,,0,0,0,6/25/2024 17:20
22,TX100022,user_3558,Send Money,7232.56,Eldoret,Android,Telkom Kenya,individual,,0,0,0,6/12/2024 2:34
