transaction_id,user_id,transaction_type,amount,location,device_type,network_provider,user_type,is_foreign_number,is_sim_recently_swapped,has_multiple_accounts,datetime,hour,day_of_week,date,time_of_day
TX100000,user_8270,Withdraw Cash,2646.35,Nakuru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-16 21:45:00,21,6,2024-06-16,Night
TX100001,user_1860,Send Money,2844.69,Garissa,Ios,Safaricom,agent,0,0,0,2024-06-05 00:49:00,0,2,2024-06-05,Night
TX100002,user_6390,Deposit Cash,2384.46,Nyeri,Feature Phone,Telkom Kenya,agent,0,0,1,2024-06-13 15:54:00,15,3,2024-06-13,Afternoon
TX100003,user_6191,Withdraw Cash,1846.01,Nairobi,Ios,Safaricom,individual,0,0,1,2024-06-10 01:05:00,1,0,2024-06-10,Night
TX100004,user_6734,Send Money,1017.6,Machakos,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-27 02:28:00,2,3,2024-06-27,Night
TX100005,user_7265,Withdraw Cash,1791.94,Meru,Feature Phone,Telkom Kenya,individual,0,0,1,2024-06-24 10:34:00,10,0,2024-06-24,Morning
TX100006,user_1466,Lipa Na M-Pesa,522.84,Meru,Feature Phone,Telkom Kenya,individual,0,0,1,2024-06-04 12:33:00,12,1,2024-06-04,Afternoon
TX100007,user_5426,Buy Airtime,428.61,Nyeri,Ios,Safaricom,individual,0,0,0,2024-06-07 00:58:00,0,4,2024-06-07,Night
TX100008,user_6578,Withdraw Cash,1248.08,Nyeri,Ios,Safaricom,individual,0,0,0,2024-06-07 11:06:00,11,4,2024-06-07,Morning
TX100009,user_9322,Lipa Na M-Pesa,18797.2,Meru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-24 11:53:00,11,0,2024-06-24,Morning
TX100010,user_2685,Pay Bill,1383.42,Garissa,Ios,Safaricom,individual,0,0,0,2024-06-10 21:31:00,21,0,2024-06-10,Night
TX100011,user_1769,Send Money,9646.1,Meru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-27 23:33:00,23,3,2024-06-27,Night
TX100012,user_7949,Pay Bill,1743.04,Kisumu,Ios,Airtel,individual,0,0,0,2024-06-24 19:49:00,19,0,2024-06-24,Evening
TX100013,user_3433,Deposit Cash,2023.18,Nakuru,Feature Phone,Airtel,individual,0,0,0,2024-06-13 11:43:00,11,3,2024-06-13,Morning
TX100014,user_6311,Lipa Na M-Pesa,5582.01,Mombasa,Android,Airtel,individual,0,0,0,2024-06-23 06:58:00,6,6,2024-06-23,Morning
TX100015,user_6051,Pay Bill,344.11,Meru,Android,Safaricom,individual,0,1,0,2024-06-14 11:54:00,11,4,2024-06-14,Morning
TX100016,user_7420,Pay Bill,704.47,Kisumu,Feature Phone,Airtel,individual,0,0,0,2024-06-16 22:30:00,22,6,2024-06-16,Night
TX100017,user_2184,Lipa Na M-Pesa,12752.37,Meru,Ios,Telkom Kenya,individual,0,0,0,2024-06-27 23:27:00,23,3,2024-06-27,Night
TX100018,user_5555,Buy Airtime,2467.68,Garissa,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-28 16:02:00,16,4,2024-06-28,Afternoon
TX100019,user_4385,Withdraw Cash,158.62,Nairobi,Android,Safaricom,individual,0,1,0,2024-06-16 06:53:00,6,6,2024-06-16,Morning
TX100020,user_7396,Deposit Cash,169.89,Kisumu,Android,Telkom Kenya,agent,0,0,1,2024-06-11 17:11:00,17,1,2024-06-11,Evening
TX100021,user_9666,Deposit Cash,8322.11,Nakuru,Feature Phone,Airtel,individual,0,0,0,2024-06-25 17:20:00,17,1,2024-06-25,Evening
TX100022,user_3558,Send Money,7232.56,Eldoret,Android,Telkom Kenya,individual,0,0,0,2024-06-12 02:34:00,2,2,2024-06-12,Night
TX100023,user_8849,Withdraw Cash,2146.29,Kisumu,Feature Phone,Safaricom,individual,0,0,0,2024-06-05 01:35:00,1,2,2024-06-05,Night
TX100024,user_3047,Send Money,623.69,Thika,Android,Telkom Kenya,agent,0,0,0,2024-06-01 19:48:00,19,5,2024-06-01,Evening
TX100025,user_3747,Deposit Cash,6207.71,Thika,Ios,Telkom Kenya,agent,0,0,0,2024-06-28 05:18:00,5,4,2024-06-28,Morning
TX100026,user_1189,Withdraw Cash,1373.58,Eldoret,Ios,Airtel,individual,0,0,1,2024-06-03 14:52:00,14,0,2024-06-03,Afternoon
TX100027,user_3734,Pay Bill,1900.87,Nyeri,Ios,Safaricom,individual,0,0,0,2024-06-16 03:14:00,3,6,2024-06-16,Night
TX100028,user_4005,Buy Airtime,4015.21,Thika,Feature Phone,Airtel,individual,0,0,0,2024-06-21 20:24:00,20,4,2024-06-21,Evening
