transaction_id,user_id,transaction_type,amount,location,device_type,network_provider,user_type,is_foreign_number,is_sim_recently_swapped,has_multiple_accounts,datetime,hour,day_of_week,date,time_of_day,user_transaction_count,user_avg_amount,user_total_amount,amount_dev_from_avg,risk_score,is_high_value
TX100000,user_8270,Withdraw Cash,2646.35,Nakuru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-16 21:45:00,21,6,2024-06-16,Night,1,2646.35,2646.35,0.0,0,0
TX100001,user_1860,Send Money,2844.69,Garissa,Ios,Safaricom,agent,0,0,0,2024-06-05 00:49:00,0,2,2024-06-05,Night,1,2844.69,2844.69,0.0,0,0
TX100002,user_6390,Deposit Cash,2384.46,Nyeri,Feature Phone,Telkom Kenya,agent,0,0,1,2024-06-13 15:54:00,15,3,2024-06-13,Afternoon,3,2288.9133333333334,6866.74,95.54666666666662,1,0
TX100003,user_6191,Withdraw Cash,1846.01,Nairobi,Ios,Safaricom,individual,0,0,1,2024-06-10 01:05:00,1,0,2024-06-10,Night,2,3768.75,7537.5,-1922.74,1,0
TX100004,user_6734,Send Money,1017.6,Machakos,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-27 02:28:00,2,3,2024-06-27,Night,1,1017.6,1017.6,0.0,0,0
TX100005,user_7265,Withdraw Cash,1791.94,Meru,Feature Phone,Telkom Kenya,individual,0,0,1,2024-06-24 10:34:00,10,0,2024-06-24,Morning,3,2122.28,6366.84,-330.34000000000015,1,0
TX100006,user_1466,Lipa Na M-Pesa,522.84,Meru,Feature Phone,Telkom Kenya,individual,0,0,1,2024-06-04 12:33:00,12,1,2024-06-04,Afternoon,1,522.84,522.84,0.0,1,0
TX100007,user_5426,Buy Airtime,428.61,Nyeri,Ios,Safaricom,individual,0,0,0,2024-06-07 00:58:00,0,4,2024-06-07,Night,3,1099.3233333333335,3297.9700000000003,-670.7133333333335,0,0
TX100008,user_6578,Withdraw Cash,1248.08,Nyeri,Ios,Safaricom,individual,0,0,0,2024-06-07 11:06:00,11,4,2024-06-07,Morning,3,1304.5466666666669,3913.6400000000003,-56.466666666666924,0,0
TX100009,user_9322,Lipa Na M-Pesa,18797.2,Meru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-24 11:53:00,11,0,2024-06-24,Morning,1,18797.2,18797.2,0.0,0,1
