transaction_id,user_id,transaction_type,amount,location,device_type,network_provider,user_type,is_foreign_number,is_sim_recently_swapped,has_multiple_accounts,datetime,hour,day_of_week,date,time_of_day,user_transaction_count,user_avg_amount,user_total_amount,amount_dev_from_avg,risk_score,is_high_value,iso_score,iso_flag,svm_score,svm_flag,lof_score,lof_flag,ensemble_flag
TX107581,user_5323,Deposit Cash,4691.49,Nairobi,Android,Telkom Kenya,individual,1,0,0,2024-06-01 00:01:00,0,5,2024-06-01,Night,1,4691.49,4691.49,0.0,1,0,0.4549494479063098,0,0.3003483013980042,0,0.03707683097974425,0,0
TX104186,user_5591,Deposit Cash,4932.87,Nyeri,Android,Airtel,individual,0,0,0,2024-06-01 00:17:00,0,5,2024-06-01,Night,2,5628.035,11256.07,-695.165,0,0,0.10040024383066964,0,0.18110822031137003,0,0.04651210009160409,0,0
TX107287,user_6411,Deposit Cash,1041.44,Nyeri,Android,Airtel,individual,0,0,0,2024-06-01 00:30:00,0,5,2024-06-01,Night,2,2665.91,5331.82,-1624.4699999999998,0,0,0.07710869268652513,0,0.24026882223427018,0,0.022824552860398768,0,0
TX106294,user_4799,Buy Airtime,472.6,Machakos,Feature Phone,Safaricom,individual,0,0,0,2024-06-01 00:31:00,0,5,2024-06-01,Night,1,472.6,472.6,0.0,0,0,0.14465160200290714,0,0.34747869660379704,0,0.022680400285644803,0,0
TX103710,user_3875,Pay Bill,10614.0,Thika,Ios,Airtel,individual,0,0,0,2024-06-01 00:31:00,0,5,2024-06-01,Night,2,6955.6900000000005,13911.38,3658.31,0,1,0.21972222611658176,0,0.2450299780537229,0,0.03446743007690917,0,0
TX102869,user_3437,Withdraw Cash,1523.68,Meru,Feature Phone,Telkom Kenya,individual,0,0,0,2024-06-01 00:37:00,0,5,2024-06-01,Night,1,1523.68,1523.68,0.0,0,0,0.1489374824719629,0,0.3000125581108872,0,0.015610314732596988,0,0
TX104359,user_1089,Pay Bill,7373.91,Mombasa,Ios,Telkom Kenya,individual,0,0,0,2024-06-01 00:37:00,0,5,2024-06-01,Night,2,5900.07,11800.14,1473.84,0,0,0.2010012407716521,0,0.18788027462384801,0,0.035795071510720596,0,0
TX107113,user_9458,Buy Airtime,1221.8,Meru,Ios,Safaricom,individual,0,0,1,2024-06-01 00:41:00,0,5,2024-06-01,Night,2,1101.13,2202.26,120.66999999999985,1,0,0.3910342705534348,0,0.2971127998216974,0,0.015924582625821797,0,0
TX105477,user_5994,Withdraw Cash,5921.81,Nakuru,Ios,Telkom Kenya,agent,0,0,0,2024-06-01 00:46:00,0,5,2024-06-01,Night,4,2165.9325,8663.73,3755.877500000001,0,0,0.4373899415398366,0,0.3332781197498918,0,0.1442585376411929,0,0
TX101729,user_6752,Send Money,4555.58,Eldoret,Android,Airtel,individual,0,0,0,2024-06-01 00:55:00,0,5,2024-06-01,Night,2,2767.81,5535.62,1787.77,0,0,0.12324847539794358,0,0.23259984448170395,0,0.03152187235816329,0,0
TX106284,user_6231,Pay Bill,494.02,Kisumu,Ios,Telkom Kenya,individual,0,0,0,2024-06-01 00:56:00,0,5,2024-06-01,Night,2,2003.72,4007.44,-1509.7,0,0,0.09669547074992244,0,0.2413833809810563,0,0.017629005570923242,0,0
